year,globe,nh,sh,shnext
1850,-0.439,-0.379,-0.499,-0.383
1851,-0.306,-0.229,-0.383,-0.431
1852,-0.309,-0.187,-0.431,-0.451
1853,-0.342,-0.232,-0.451,-0.478
1854,-0.299,-0.12,-0.478,-0.436
1855,-0.341,-0.246,-0.436,-0.419
1856,-0.409,-0.4,-0.419,-0.559
1857,-0.482,-0.405,-0.559,-0.553
1858,-0.49,-0.428,-0.553,-0.432
1859,-0.36,-0.289,-0.432,-0.396
1860,-0.392,-0.388,-0.396,-0.519
1861,-0.409,-0.299,-0.519,-0.424
1862,-0.521,-0.617,-0.424,-0.407
1863,-0.315,-0.222,-0.407,-0.486
1864,-0.503,-0.521,-0.486,-0.353
1865,-0.308,-0.263,-0.353,-0.338
1866,-0.314,-0.289,-0.338,-0.333
1867,-0.338,-0.342,-0.333,-0.384
1868,-0.297,-0.209,-0.384,-0.411
1869,-0.307,-0.204,-0.411,-0.381
1870,-0.303,-0.226,-0.381,-0.329
1871,-0.349,-0.37,-0.329,-0.326
1872,-0.275,-0.224,-0.326,-0.346
1873,-0.336,-0.326,-0.346,-0.459
1874,-0.376,-0.293,-0.459,-0.322
1875,-0.409,-0.496,-0.322,-0.411
1876,-0.375,-0.338,-0.411,-0.202
1877,-0.129,-0.056,-0.202,-0.161
1878,-0.018,0.124,-0.161,-0.275
1879,-0.26,-0.244,-0.275,-0.241
1880,-0.249,-0.256,-0.241,-0.2
1881,-0.25,-0.3,-0.2,-0.229
1882,-0.255,-0.28,-0.229,-0.24
1883,-0.306,-0.373,-0.24,-0.298
1884,-0.37,-0.441,-0.298,-0.312
1885,-0.362,-0.413,-0.312,-0.278
1886,-0.289,-0.3,-0.278,-0.452
1887,-0.375,-0.298,-0.452,-0.388
1888,-0.34,-0.292,-0.388,-0.26
1889,-0.223,-0.185,-0.26,-0.474
1890,-0.422,-0.371,-0.474,-0.426
1891,-0.383,-0.34,-0.426,-0.482
1892,-0.478,-0.474,-0.482,-0.462
1893,-0.502,-0.542,-0.462,-0.482
1894,-0.435,-0.389,-0.482,-0.418
1895,-0.416,-0.414,-0.418,-0.275
1896,-0.238,-0.202,-0.275,-0.306
1897,-0.258,-0.21,-0.306,-0.508
1898,-0.399,-0.29,-0.508,-0.391
1899,-0.319,-0.248,-0.391,-0.367
1900,-0.253,-0.138,-0.367,-0.431
1901,-0.316,-0.2,-0.431,-0.462
1902,-0.427,-0.392,-0.462,-0.57
1903,-0.494,-0.419,-0.57,-0.565
1904,-0.537,-0.51,-0.565,-0.461
1905,-0.424,-0.387,-0.461,-0.418
1906,-0.349,-0.281,-0.418,-0.508
1907,-0.518,-0.528,-0.508,-0.611
1908,-0.554,-0.498,-0.611,-0.62
1909,-0.559,-0.498,-0.62,-0.608
1910,-0.544,-0.48,-0.608,-0.676
1911,-0.573,-0.469,-0.676,-0.466
1912,-0.496,-0.526,-0.466,-0.459
1913,-0.485,-0.511,-0.459,-0.325
1914,-0.318,-0.312,-0.325,-0.263
1915,-0.246,-0.229,-0.263,-0.426
1916,-0.432,-0.438,-0.426,-0.465
1917,-0.493,-0.521,-0.465,-0.36
1918,-0.387,-0.414,-0.36,-0.243
1919,-0.333,-0.422,-0.243,-0.302
1920,-0.327,-0.351,-0.302,-0.332
1921,-0.268,-0.203,-0.332,-0.42
1922,-0.376,-0.332,-0.42,-0.39
1923,-0.345,-0.3,-0.39,-0.432
1924,-0.356,-0.281,-0.432,-0.376
1925,-0.274,-0.173,-0.376,-0.272
1926,-0.179,-0.086,-0.272,-0.353
1927,-0.257,-0.162,-0.353,-0.333
1928,-0.255,-0.176,-0.333,-0.397
1929,-0.358,-0.32,-0.397,-0.3
1930,-0.171,-0.042,-0.3,-0.265
1931,-0.139,-0.013,-0.265,-0.268
1932,-0.161,-0.055,-0.268,-0.342
1933,-0.282,-0.222,-0.342,-0.264
1934,-0.161,-0.058,-0.264,-0.282
1935,-0.185,-0.087,-0.282,-0.265
1936,-0.149,-0.034,-0.265,-0.168
1937,-0.041,0.086,-0.168,-0.14
1938,0.002,0.144,-0.14,-0.119
1939,-0.003,0.113,-0.119,0.009
1940,0.008,0.007,0.009,0.055
1941,0.062,0.069,0.055,-0.047
1942,-0.02,0.006,-0.047,-0.106
1943,-0.018,0.07,-0.106,0.05
1944,0.099,0.148,0.05,-0.017
1945,-0.024,-0.03,-0.017,-0.338
1946,-0.19,-0.042,-0.338,-0.279
1947,-0.193,-0.108,-0.279,-0.335
1948,-0.195,-0.055,-0.335,-0.311
1949,-0.206,-0.101,-0.311,-0.348
1950,-0.293,-0.238,-0.348,-0.296
1951,-0.168,-0.04,-0.296,-0.166
1952,-0.094,-0.022,-0.166,-0.189
1953,-0.045,0.099,-0.189,-0.358
1954,-0.245,-0.131,-0.358,-0.408
1955,-0.268,-0.127,-0.408,-0.378
1956,-0.336,-0.294,-0.378,-0.133
1957,-0.083,-0.033,-0.133,-0.121
1958,-0.019,0.083,-0.121,-0.139
1959,-0.073,-0.007,-0.139,-0.203
1960,-0.118,-0.033,-0.203,-0.103
1961,-0.031,0.04,-0.103,-0.149
1962,-0.034,0.081,-0.149,-0.137
1963,-0.009,0.118,-0.137,-0.347
1964,-0.277,-0.207,-0.347,-0.238
1965,-0.21,-0.183,-0.238,-0.246
1966,-0.15,-0.054,-0.246,-0.266
1967,-0.147,-0.027,-0.266,-0.233
1968,-0.159,-0.086,-0.233,0.021
1969,-0.025,-0.072,0.021,-0.076
1970,-0.073,-0.071,-0.076,-0.173
1971,-0.181,-0.189,-0.173,0.074
1972,-0.066,-0.206,0.074,0.09
1973,0.058,0.026,0.09,-0.168
1974,-0.206,-0.243,-0.168,-0.187
1975,-0.161,-0.136,-0.187,-0.196
1976,-0.24,-0.284,-0.196,0.009
1977,0.006,0.003,0.009,-0.07
1978,-0.059,-0.048,-0.07,0.066
1979,0.046,0.026,0.066,0.083
1980,0.071,0.059,0.083,0.022
1981,0.11,0.197,0.022,0.042
1982,0.016,-0.01,0.042,0.184
1983,0.171,0.158,0.184,0.046
1984,-0.019,-0.085,0.046,0.059
1985,-0.037,-0.133,0.059,0.053
1986,0.034,0.015,0.053,0.2
1987,0.178,0.156,0.2,0.145
1988,0.174,0.203,0.145,0.072
1989,0.109,0.147,0.072,0.154
1990,0.247,0.34,0.154,0.165
1991,0.203,0.24,0.165,0.088
1992,0.07,0.052,0.088,0.123
1993,0.104,0.085,0.123,0.105
1994,0.169,0.232,0.105,0.154
1995,0.27,0.386,0.154,0.147
1996,0.138,0.13,0.147,0.287
1997,0.347,0.408,0.287,0.457
1998,0.526,0.595,0.457,0.219
1999,0.302,0.385,0.219,0.192
2000,0.277,0.363,0.192,0.329
2001,0.406,0.484,0.329,0.375
2002,0.455,0.534,0.375,0.371
2003,0.465,0.558,0.371,0.299
2004,0.444,0.589,0.299,0.328
2005,0.475,0.621,0.328,0.286
2006,0.421,0.556,0.286,0.214
2007,0.398,0.583,0.214,NA
